pub_identity,pub_deletion,place,name,address,latitude,longitude,category,rank,station_identity,area_identity
cd2b49a2-048e-4ce7-abeb-df570f2320ec,False,ChIJ0RVpK8MCdkgR-TJLWHRlRQo,The Ship & Whale,"2 Gulliver St, London SE16 7LT, UK",51.4968681812559,-0.0342679023742675,bar,0.0,c300191a-b7ff-4448-8ec4-6437bdacb405,95a37f36-5b87-4eb8-b1d8-2aba80c64d7a
6f052687-67ef-4ad9-8c6d-fe45670e166f,False,ChIJ-Zu-9c8CdkgR9MCdIDUEv6Q,The Blacksmiths Arms,"257 Rotherhithe St, London SE16 5EJ, UK",51.50516313735562,-0.0340104103088378,bar,0.0,36d0e3a3-d2bf-4081-a486-5e8bf82f4ab7,95a37f36-5b87-4eb8-b1d8-2aba80c64d7a
5c79ee71-6991-4aee-8e50-904de5486a4b,False,ChIJ05WkE84CdkgRH6RzB264YGE,The Grapes,"76 Narrow St, London E14 8BP, UK",51.50891607545451,-0.0339460372924804,restaurant,0.0,36d0e3a3-d2bf-4081-a486-5e8bf82f4ab7,95a37f36-5b87-4eb8-b1d8-2aba80c64d7a
da4e463a-461e-4c5a-acbe-6d72ecac2119,False,ChIJY5HCgcsCdkgRvpXb9Jx9lPw,The Star of the East,"805A Commercial Rd, London E14 7HG, UK",51.51228143674928,-0.0287318229675292,bar,0.0,36d0e3a3-d2bf-4081-a486-5e8bf82f4ab7,bfd8e41d-0402-4aa5-9bdb-4382e3ec894e
5f811181-8213-427d-ae8a-8da9bc3beb48,False,ChIJ2bYGyCkddkgR-DrrIs-nii8,The Half Moon - JD Wetherspoon,"213-223 Mile End Rd, Bethnal Green, London E1 4AA, UK",51.52218911251961,-0.0454258918762207,bar,0.0,1016c083-b4f5-46c7-8f4b-ccde697fe273,031970b0-c0f6-450a-8515-4129c30f3302
2697bc03-5d16-4a51-a27f-66ff6a87b344,False,ChIJka4BYCEddkgRP_mk5T0AKxU,East London Liquor Company,"Unit GF1, Bow Wharf, 221 Grove Rd., Old Ford, London E3 5SN, UK",51.53201454328688,-0.0417780876159668,bar,0.0,54fe26e3-fea8-457d-89e4-bc9be6c26a42,031970b0-c0f6-450a-8515-4129c30f3302
0f955e0b-e77a-4a59-8c8d-3297abca1313,False,ChIJAaJot94cdkgRDAw6oL0hjYI,The Approach Tavern,"47 Approach Rd, Bethnal Green, London E2 9LY, UK",51.531333773383885,-0.051734447479248,bar,0.0,54fe26e3-fea8-457d-89e4-bc9be6c26a42,031970b0-c0f6-450a-8515-4129c30f3302
6b057b63-eb50-45f9-92cf-e8be7e1a1933,False,ChIJrfUrf8EcdkgRAJ8aw-Hc8LI,The Virgin Queen,"94 Goldsmiths Row, London E2 8QY, UK",51.53369640175498,-0.0644588470458984,bar,0.0,54fe26e3-fea8-457d-89e4-bc9be6c26a42,031970b0-c0f6-450a-8515-4129c30f3302
c5750a08-a2e0-4957-9628-b7425700ea90,False,ChIJPR2MXfAcdkgR2xaMsu5rJYs,The Five Points Brewery & Taproom,"61 Mare St, London E8 4RG, UK",51.53635254372002,-0.0573348999023437,bar,0.0,54fe26e3-fea8-457d-89e4-bc9be6c26a42,16240ef3-d2e9-4d02-bd79-fabaf2147ff3
d015539a-55fe-480f-b96d-156382cf87b5,False,ChIJyZP0SOgcdkgRYTB9zS1w46E,The Cat & Mutton,"76 Broadway Market, London E8 4RA, UK",51.5375003762023,-0.0609827041625976,bar,0.0,cc6e0333-78d2-454e-8928-cc3f843da984,16240ef3-d2e9-4d02-bd79-fabaf2147ff3
6ac5780f-598c-48e6-9684-b2504c81312f,False,ChIJ72_NROYcdkgRwvQ0hISRp0Q,Martello Hall,"Martello Hall, 137 Mare St, London E8 3RH, UK",51.53866152612016,-0.0571632385253906,bar,0.0,cc6e0333-78d2-454e-8928-cc3f843da984,16240ef3-d2e9-4d02-bd79-fabaf2147ff3
08d5404b-ae5c-4e66-b7d3-b3b50958895e,False,ChIJZbNTaOAcdkgRoL9QHkQX-k8,The Hemingway,"84 Victoria Park Rd, London E9 7JL, UK",51.53726013458968,-0.048987865447998,bar,0.0,cc6e0333-78d2-454e-8928-cc3f843da984,031970b0-c0f6-450a-8515-4129c30f3302
144c41db-e6f0-4b3f-b6d1-5b6b5b2e5fcb,False,ChIJTSB4nx8ddkgRnL4-9OThZn8,Royal Inn on the Park,"Victoria Park Village, 111 Lauriston Rd, London E9 7DA, UK",51.53677964756013,-0.0432586669921875,bar,0.0,6f9943a0-e2b0-47f8-9e42-b1577d54cc22,031970b0-c0f6-450a-8515-4129c30f3302
2e161f42-7d5a-4ff5-80c9-daa6f53f61c8,False,ChIJkSiMoRwddkgRePS2A-TL340,The Eagle,"103 Wick Rd, London E9 5AE, UK",51.54534757158743,-0.0414562225341796,bar,0.0,6f9943a0-e2b0-47f8-9e42-b1577d54cc22,16240ef3-d2e9-4d02-bd79-fabaf2147ff3
f6d03468-da16-4961-b622-f907e1958ded,False,ChIJR_HxBh0ddkgRJCAKuFyGKag,The Kenton Pub,"38 Kenton Rd, London E9 5BA, UK",51.54411986840725,-0.0444388389587402,restaurant,0.0,6f9943a0-e2b0-47f8-9e42-b1577d54cc22,16240ef3-d2e9-4d02-bd79-fabaf2147ff3
