brunch,dart,detail,entertain,favourite,garden,history,late,music,pool,pub_identity,quiz,review_deletion,review_identity,roast,sport
False,False,Great decor,False,False,False,False,False,False,False,97db9cac-552f-4b75-a212-3f93f8345106,False,False,982182f7-95f4-4a85-a5db-1f72e455ae39,False,False
False,False,0,False,False,False,False,False,False,False,bedb5f88-f233-497d-8e1c-f8e553a47d67,False,False,71ae49c9-9dc6-4a6a-a177-525f9a4c694a,False,False
True,False,Large outdoor area,False,False,True,False,False,False,False,e08ad1f3-3943-46cd-bdf5-ce9fdcdef72f,False,False,f52a116e-7f29-4c7c-8634-b18740de5b54,False,False
False,False,Modern pub,False,False,False,True,False,False,False,8e99b0f2-e61c-4fd6-9e01-f53da76b5f81,False,False,ad0e7343-c990-4b53-ad6e-7d24180621f5,True,True
False,False,Closed for refurbishment,False,False,False,False,False,False,False,84c0c227-c1ec-487a-9a5e-0166ab15524a,False,False,0023dc4a-f8d2-4b73-af87-e45e41e560ae,False,False
False,False,Mon 7pm comedy. Tue quiz. Fri live music,True,False,False,False,False,True,False,78295944-cac8-4b2c-b9cb-0a439fef22b2,True,False,f5f4b939-6c8d-45b7-ba0d-8ef95d699c87,True,False
False,False,Sat/Sun live music,False,False,False,False,False,True,False,4db0af7c-e9ca-4475-9d0f-0d7ca82d31e8,False,False,30189288-b310-423e-b708-4393ae28ac1a,False,True
False,False,Mon 8pm quiz,False,False,False,False,False,False,False,ff1be3fe-9942-441e-a9e3-f329d0b65eb2,True,False,618b880a-bc45-4955-b32b-068dd5d6aad3,True,False
False,False,Tuesday 7.30pm quiz,False,False,False,False,True,True,False,0252299e-ca2a-4dad-941f-c48bd96d99b6,True,False,0ba448d4-10e4-4fc9-a6d2-a43ce44645f6,True,False
False,False,Wed 8pm quiz. Jazz Sundays. Outdoor seating,False,False,False,False,True,True,False,c9cb2f10-838b-400b-aaa9-a2a2a4defe64,True,False,15dc0bb3-16a3-4a7b-8d52-6b12c85a087c,False,False
False,True,Outdoor seating and poker nights,True,False,False,False,False,True,True,0b938518-efd3-47e3-bdc8-5c276cf701ef,False,False,a3036362-0fad-4f9d-8553-57297d6b6d43,True,True
False,False,Outdoor seating,False,False,False,False,False,False,False,b22a8a03-1b58-4aba-b2c8-1098315cfeda,False,False,1714fc5c-d648-4564-9de4-2cda3a5150f5,True,True
False,False,Tue board games. Atrium dining and various events,True,False,True,False,True,False,False,9b2e6647-660e-43d8-9e27-a5f06b0ddb54,False,False,172d2ed4-b021-4550-88d3-672e496224c9,True,False
False,False,"Tuesday 7.30pm quiz, Outdoor seating",False,False,False,False,True,False,False,12a39cf2-449c-4e3e-b7ca-40622cf386aa,True,False,d4fe1abb-5d60-4d0e-8f93-aaf3f5bfdd2f,True,False
