station_identity,station_deletion,station_name,station_latitude,station_longitude,zone,postcode,direction
b5b6cf6f-ba22-4935-a5be-067a72518e12,False,Dagenham East,51.54418761328958,0.1658334333091666,5,RM10 8AA,North East
3d8fdaf6-4007-44ec-ad85-92c6b2e62223,False,Dagenham Heathway,51.54121203550144,0.1476797214740033,5,RM9 5AN,North East
e0366379-9029-4bea-a5f1-80cd6e62f722,False,Dalston Junction,51.54609359547847,-0.0749942044988174,2,E8 3DL,East
2a829aac-cd42-4f92-bb27-7417ea56f4fd,False,Dalston Kingsland,51.54866769606561,-0.0762269216179967,2,E8 2JS,East
cb5e3ba6-fde2-4591-bf83-28960140c82e,False,Debden,51.64549214152591,0.0838014752563246,6,IG10 3TG,North East
a6567490-c28e-4c7a-b4b1-6db0653a972a,False,Denmark Hill,51.46820049292506,-0.090987869102917,2,SE5 8BB,South
a5b7dc9f-3fc2-49f7-b287-2126cc5c5590,False,Deptford,51.47889004331755,-0.0261963195339122,2,SE8 3NU,South
6a51c762-7046-4549-95e2-23275d333a6a,False,Deptford Bridge,51.47447673839478,-0.0220524287742925,"2,3",SE10 8BU,South
019bb2f5-00ab-45d5-b656-5f391f1063fb,False,Devons Road,51.52225844074295,-0.0180077541751607,2,E3 3QX,East
a941d770-abe9-47f5-a5a4-0c2b42a2fd82,False,Dollis Hill,51.55185020227431,-0.2387977583647576,3,NW10 5NB,North
973d64dc-d7d3-4e0d-81f1-182e946f9aa0,False,Drayton Green,51.51600413801542,-0.3296112533786995,4,W13 0JX,West
708c7e5a-d7ec-488d-9006-380a87398c1f,False,Drayton Park,51.553078136383206,-0.1057701991034677,2,N5 1NT,North
b6a1f27d-8465-443e-9b4d-1d31fc6690db,False,Dundonald Road,51.41739780912452,-0.2075271102007702,"3,4,5,6",SW19 3QJ,South
df7e798c-90e6-4014-9e7d-6981a33a5b2e,False,Ealing Broadway,51.51486148277942,-0.3020103761336258,3,W5 2NU,West
b5e9e7ef-d23e-4c02-872e-a0ebfb5041bc,False,Ealing Common,51.510248187933655,-0.2871514131053222,3,W5 3LD,West
5c61c469-7a4c-414b-98a0-8f249d6f768b,False,Earls Court,51.49135635619762,-0.1943138070951425,"1,2",SW5 9QA,South
173bc635-51fb-4832-b5dd-0fba6660b95f,False,Earlsfield,51.44223850305,-0.1872726865431778,3,SW18 4SW,South
442fa97e-68c9-4ebb-9009-b628593dad2f,False,East Acton,51.51626301045364,-0.2481122212813141,2,W12 0BP,West
4c2ce8b8-da3a-4866-ac60-3d7c08ade0b9,False,East Croydon,51.37571595390626,-0.0918634955366216,5,CR0 1LF,South East
5a768eef-a4ef-4197-af79-68d61ef9ba35,False,East Dulwich,51.46162545364044,-0.0804365711324548,2,SE22 8EF,South
04c5d21f-c176-4735-b82d-a68a1cd83b86,False,East Finchley,51.5873322776344,-0.1647438844467196,3,N2 0NW,North
68c7c28e-a4b3-460c-8dbc-8a8c2ba8ce97,False,East Ham,51.53924625194368,0.0515162934805761,"3,4",E6 2JA,East
042e4329-2c51-4aed-96cc-35cf0dd8a335,False,East India,51.5086840050616,-0.0023703315489933,"2,3",E14 9PS,East
1c74b5a3-bfe7-4dd9-881c-7f64965e4da7,False,East Putney,51.45887944035384,-0.2109982315959417,"2,3",SW15 6SN,South
d34fde77-4f33-40ee-bdc1-2cfdceec5b4d,False,Eastcote,51.57655117614093,-0.3968232901498021,5,HA5 1QZ,North West
fa02e255-ce37-4b38-adba-d37e52a3fcef,False,Eden Park,51.390796061854985,-0.0266697155140848,5,BR3 3HQ,South East
2381e28b-e8c1-48d4-a651-6e10e050996e,False,Edgware,51.61422917451505,-0.2750936620617057,5,HA8 7AW,North West
33ebdab5-c7ab-43a9-a205-d8949fad66c1,False,Edgware Road (Bakerloo),51.520645084536135,-0.1705395498997404,1,W2 1DY,West
c7e27e50-a446-4554-94f2-d0539e793c99,False,Edgware Road (Circle/District/Hammersmith and City),51.519997771093394,-0.1676682526511785,1,NW1 5DH,North
0fdb6f5f-99b9-4d7f-abaa-cb2ab78a2d23,False,Edmonton Green,51.62511560436454,-0.0616390192351294,4,N9 9DX,North
cdb93a1d-f3aa-4cb1-8744-29fde3706cc6,False,Elephant and Castle,51.49584922002923,-0.1007387142562823,"1,2",SE1 6LW,South
ec20aabc-90ca-4298-aaaf-1a7877edd0cd,False,Elm Park,51.54912490990794,0.1972526842834268,6,RM12 4RW,North East
4c4661ae-40f8-4c61-af83-251b1bd069f4,False,Elmers End,51.39829103016248,-0.0494638321399583,4,BR3 4EJ,South East
76db25d1-65f4-4f01-9a40-02f94a2f4368,False,Elmstead Woods,51.41708070663452,0.0442293428430611,4,BR7 5EW,South East
a1a5734c-a620-401c-a095-108c5adadf6d,False,Elstree and Borehamwood,51.65287512084613,-0.279828614916371,6,WD6 3LS,West
95807b66-e922-4231-81ac-a656364b2d1d,False,Eltham,51.45566230922668,0.0523293078984463,4,SE9 6UB,South
89237d98-a1bb-42b0-95f1-f060a7996dce,False,Elverson Road,51.46837216503855,-0.016816376196184,"2,3",SE8 4LA,South
457a9061-abd6-4bb1-8017-0c1eaeb4efdd,False,Embankment,51.50731229694681,-0.1223673356621198,1,WC2N 6NS,Central
f68aa4fb-8672-4237-b888-fd700f91f06c,False,Emerson Park,51.56911527219532,0.2202229371998107,6,RM11 2JR,North East
acf117bb-dbde-4640-ae24-86d349383e3b,False,Enfield Chase,51.65272196544716,-0.0907042050119525,5,EN2 7AA,East
4bef91b2-89c2-4fac-bbe3-1028ca316869,False,Enfield Lock,51.67084607825663,-0.0283910700615031,6,EN3 6BW,East
26cac061-e2b2-4aa8-b405-e5bda4262216,False,Enfield Town,51.65196994515368,-0.0793299217281958,5,EN1 1YB,East
d6ecba00-e96b-4160-a7ca-11e6bd1c2c60,False,Epping,51.69368635497796,0.1138255535142121,6,CM16 4HW,North East
b0a43efe-99ef-4a6f-80b6-18b8e12c7636,False,Epsom Downs,51.32365904938116,-0.2389702234596616,6,KT17 4JX,South West
9c31a006-8f64-4112-8013-478851eda2e8,False,Erith,51.48164796323426,0.1742612910268147,6,DA8 1TY,South East
d64263fb-509a-4339-a6d2-3a86b865c4a8,False,Essex Road,51.54063315566608,-0.0963655253611018,2,N1 2SU,North
d74fa9ff-1a1d-416e-bdfb-62db44504210,False,Euston,51.528664114832,-0.1332964708191512,1,NW1 2DU,North
92d126b5-c71e-4ffb-8e41-094fc68b7d37,False,Euston Square,51.525468382999584,-0.1353444884426915,1,NW1 2BN,North
0b3f9d53-5b04-4612-be9a-9decb4038da8,False,Ewell East,51.345243482663065,-0.2415029979804253,6,KT17 1QR,South West
4c216bcb-f74a-4dbc-8ec3-b3f45b959c50,False,Ewell West,51.34999072305868,-0.2570891291976419,6,KT17 1TU,South West
645fa95d-79e2-4f54-8f34-3b63f3a26fde,False,Fairlop,51.59610969417489,0.0905932799159299,4,IG6 3HD,North East
