pub_identity,detail,monday,tuesday,wednesday,thursday,friday,saturday,sunday,brunch,dart,entertain,favourite,garden,history,late,music,pool,quiz,roast,sport
2dc38644-2fce-446f-a813-a2ba3e18eedf,Duckpin alley,,,,,,,,,,,,,,,,,,,
2e0207c5-32bf-4556-a37e-955b214d8757,Conservatory dining,,,,,,,,,,,,,,,,,,,
2e161f42-7d5a-4ff5-80c9-daa6f53f61c8,Traditional pub,,,,,,,,,,,,,,,,,,,
2e367eb2-c546-4db2-b71c-c3446b63889f,Traditional pub,,,,,,,,,,,,,,,,,,,
2ee54ca1-e1cf-4d1f-bc86-89c2136cbeae,Tue 8pm quiz,,,,,,,,,,,,,,,,,,,
2ee6f921-269c-4977-a1d9-f59d1efb3871,Indoor cricket nets with outdoor seating,,,,,,,,,,,,,,,,,,,
2f149ce3-29c5-4f29-b3cc-de9f72f917b3,Irish pub,,,,,,,,,,,,,,,,,,,
2fe38cf3-b1e4-4dcf-9c57-dfd3b99604b2,TBC,,,,,,,,,,,,,,,,,,,
30076bbc-f118-4716-a74c-156b7ec256a5,Mon quiz. Wed-Sun live music and DJs,,,,,,,,,,,,,,,,,,,
3058f233-ea9e-4eb7-98cb-68dda69d344d,1st Tue quiz,,,,,,,,,,,,,,,,,,,
30f4c88f-c2da-49ec-9671-a7e2c7cfda2e,Outdoor seating,,,,,,,,,,,,,,,,,,,
31578bef-e1d2-4852-a548-beda55ab792c,Mon 7.30pm quiz. Tue board games. Wed 7pm live folk music,,,,,,,,,,,,,,,,,,,
31661734-bb83-4bf4-8c68-0b7afd4f8d48,Thur 7.30pm quiz with occasionally live music,,,,,,,,,,,,,,,,,,,
31de6bf0-9819-4cad-81fc-6d787312acc3,Classic pub,,,,,,,,,,,,,,,,,,,
3227e6fa-c80b-44d7-abb9-2b8c5d9dc817,Tuesday 7.30pm quiz,,,,,,,,,,,,,,,,,,,
32930f07-b607-4816-a44e-56538f01ca60,TBC,,,,,,,,,,,,,,,,,,,
32a17618-9e23-450c-b921-a6bab0dfdd6f,Restaurant,,,,,,,,,,,,,,,,,,,
32db5c41-cb6f-4836-8db1-aa6824536274,Special garden,,,,,,,,,,,,,,,,,,,
33a2aa89-d62a-4962-9655-e21e1ddb2348,Taproom with outdoor seating,,,,,,,,,,,,,,,,,,,
33e2d423-03c7-4afa-af3f-8cc716675346,Off license,,,,,,,,,,,,,,,,,,,
